NO,PEKERJAAN,KETERANGAN_PEKERJAAN,TANGGAL_LAHIR,STATUS_PERNIKAHAN,KETERANGAN_STATUS_PERNIKAHAN,KELURAHAN,KECAMATAN,KOTA,PROVINSI,PRODUK,SUB_PRODUK,KETERANGAN_SUB_PRODUK,TANGGAL_INPUT,PLAFOND,JK_WAKTUBULAN,HASIL_PRESCREENING_SLIK,HASIL_PRESCREENING_SIKPKUR,HASIL_PRESCREENING_DUKCAPIL,HASIL_PRESCREENING_DHNBI,HASIL_PRESCREENING_1,STATUS,KOLEKTABILITAS,KETERANGAN
427,99,Lain-Lain,1988-06-21,K,Kawin,SEMANAN,KALI DERES,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-04-17,265800000.0,180,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
428,99,Lain-Lain,1985-10-03,K,Kawin,PORISGAGA,BATUCEPER,TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2024-02-02,28000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
429,31,"Transportasi darat (masinis, sopir,kondektur)",1977-08-10,K,Kawin,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-03-28,247600000.0,124,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
430,5,Administrasi umum,1983-05-16,K,Kawin,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-12-21,352000000.0,180,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
431,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1994-02-04,K,Kawin,CIKIRUHWETAN,CIKEUSIK,KAB. PANDEGLANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2025-03-12,150000000.0,48,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
432,99,Lain-Lain,1970-02-17,D,Cerai,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2025-08-22,25000000.0,18,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
433,99,Lain-Lain,1980-12-02,K,Kawin,TUGU,CIMANGGIS,KOTA DEPOK,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2021-11-29,406842503.5,168,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
434,8,Marketing,1963-03-24,K,Kawin,,,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2008-04-17,50000000.0,48,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
435,37,Pegawai pemerintahan/lembaga negara,1969-04-30,K,Kawin,CIRACAS,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-02-02,78000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
436,5,Administrasi umum,1984-11-11,K,Kawin,JATIKRAMAT,JATIASIH,KOTA BEKASI,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2020-09-21,356632987.0,135,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
437,11,Pensiunan,1960-07-06,K,Kawin,SUKA PURA,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-06-03,100000000.0,48,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
438,9,"Pengajar (Guru,Dosen)",1978-08-18,K,Kawin,KAMAL,KALI DERES,JAKARTA BARAT,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2020-05-19,322207777.0,111,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
439,9,"Pengajar (Guru,Dosen)",1994-01-07,B,Belum Kawin,CIPINANG MUARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-02-02,80000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
440,9,"Pengajar (Guru,Dosen)",1977-09-16,K,Kawin,BARU,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-01-20,300000000.0,120,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
441,37,Pegawai pemerintahan/lembaga negara,1979-09-09,K,Kawin,PEGADUNGAN,KALIDERES,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-02-18,220000000.0,84,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
442,31,"Transportasi darat (masinis, sopir,kondektur)",1986-12-13,K,Kawin,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-07-12,180500000.0,180,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
443,13,Wiraswasta,2005-09-27,B,Belum Kawin,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-11-13,100000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
444,99,Lain-Lain,1991-08-09,K,Kawin,PENGGILINGAN,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-12-19,375000000.0,168,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
445,37,Pegawai pemerintahan/lembaga negara,1961-09-29,D,Cerai,KEBON KOSONG,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2018-11-28,150000000.0,120,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
446,9,"Pengajar (Guru,Dosen)",1973-02-09,K,Kawin,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-12-29,20000000.0,36,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
447,37,Pegawai pemerintahan/lembaga negara,1994-09-06,K,Kawin,KARANG SARI,NEGLASARI,TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2025-06-16,133000000.0,240,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
448,99,Lain-Lain,1971-09-28,K,Kawin,CIPINANG MUARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2014-11-12,124900000.0,132,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
449,9,"Pengajar (Guru,Dosen)",1990-09-29,K,Kawin,PULO GEBANG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-06-19,100000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
450,12,Pelajar/Mahasiswa,1978-06-29,K,Kawin,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,1997-08-13,10000000.0,12,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
451,37,Pegawai pemerintahan/lembaga negara,1986-06-08,K,Kawin,LAGOA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-08-05,623000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
452,11,Pensiunan,1957-01-11,K,Kawin,PONDOK BENDA,PAMULANG,TANGERANG SELATAN,BANTEN,Konsumer,KMG,Kredit Multi Guna,2023-12-04,76000000.0,36,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
453,9,"Pengajar (Guru,Dosen)",1988-05-03,K,Kawin,RAWABADAK SELATAN,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-08-28,31000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
454,37,Pegawai pemerintahan/lembaga negara,1996-02-22,K,Kawin,CIBUBUR,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-02-20,750000000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
455,9,"Pengajar (Guru,Dosen)",1969-08-20,K,Kawin,MUNJUL,CIPAYUNG,KOTA DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-05-16,189300000.0,50,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
456,5,Administrasi umum,1987-06-10,K,Kawin,SUKAMAJU,CILODONG,KOTA DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2021-09-20,470000000.0,120,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
457,37,Pegawai pemerintahan/lembaga negara,1987-01-07,K,Kawin,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-12-05,415000000.0,132,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
458,99,Lain-Lain,1982-03-27,K,Kawin,SUNTER JAYA,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-09-03,210500000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
459,37,Pegawai pemerintahan/lembaga negara,1965-09-25,K,Kawin,BOJONGGEDE,BOJONG GEDE,KAB. BOGOR,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2020-08-28,178000000.0,120,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
460,99,Lain-Lain,1954-06-05,K,Kawin,CEMPAKA PUTIH TIMUR,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2002-11-08,10000000.0,36,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
461,9,"Pengajar (Guru,Dosen)",1992-07-17,K,Kawin,BATURETNO,BANGUNTAPAN,KAB. BANTUL,D.I. YOGYAKARTA,Mikro,Mikro NON KUR,Mikro Non - Kredit Usaha Rakyat,2025-08-19,18401000.0,12,High,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,5,Macet
462,9,"Pengajar (Guru,Dosen)",1998-12-05,B,Belum Kawin,JATI,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-01-17,38000000.0,24,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
463,8,Marketing,1986-07-29,K,Kawin,MELONG,CIMAHI SELATAN,KOTA CIMAHI,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2015-01-30,196500000.0,240,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
464,99,Lain-Lain,1994-10-31,K,Kawin,KRAMAT JATI,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-05-17,335000000.0,156,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
465,37,Pegawai pemerintahan/lembaga negara,1993-07-31,B,Belum Kawin,ASAM KUMBANG,MEDAN SELAYANG,MEDAN,SUMATERA UTARA,Konsumer,KMG,Kredit Multi Guna,2025-03-12,315000000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
466,37,Pegawai pemerintahan/lembaga negara,1984-08-19,K,Kawin,CISALAK,SUKMA JAYA,DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2021-04-08,200000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
467,99,Lain-Lain,1977-05-05,K,Kawin,PEGANGSAAN DUA,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-01-22,97000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
468,36,Pejabat negara/penyelenggara negara,1982-10-16,K,Kawin,LATIUNG,TEUPAH SELATAN,KAB. SIMEULEU,NANGGROE ACEH D,Konsumer,KMG,Kredit Multi Guna,2024-12-09,885034000.0,190,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
469,26,Pengamanan,1963-11-05,K,Kawin,LAGOA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-05-19,57511842.0,24,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
470,11,Pensiunan,1958-09-30,K,Kawin,DESA BAHAGIA,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-02-18,65000000.0,72,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
471,37,Pegawai pemerintahan/lembaga negara,1982-04-24,K,Kawin,KADU SIRUNG,PAGEDANGAN,KAB. TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2025-08-01,171000000.0,60,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
472,34,Ibu rumah tangga,1992-06-20,K,Kawin,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-02-16,25000000.0,36,Medium,Terdaftar KUR,Sesuai,Ya,Lolos,Reject,2,Dalam Perhatian Khusus
473,9,"Pengajar (Guru,Dosen)",1968-06-22,K,Kawin,GROGOL,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2021-03-09,282700000.0,86,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
474,37,Pegawai pemerintahan/lembaga negara,1983-12-11,K,Kawin,CILILITAN,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2015-06-25,170000000.0,96,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
475,12,Pelajar/Mahasiswa,1977-09-10,B,Belum Kawin,TUGU UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-02-15,86000000.0,60,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
476,6,Teknologi informasi,1992-05-13,K,Kawin,CEMPAKA PUTIH BARAT,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-06-13,400000000.0,84,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
477,8,Marketing,1993-01-02,B,Belum Kawin,PONDOK CINA,BEJI,DEPOK,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2024-03-21,175000000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
478,37,Pegawai pemerintahan/lembaga negara,1972-05-27,K,Kawin,,,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-11-09,235000000.0,90,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
479,5,Administrasi umum,1992-07-17,K,Kawin,PULO GEBANG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2025-02-13,179150000.0,180,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
480,9,"Pengajar (Guru,Dosen)",1982-05-10,K,Kawin,MENTENG DALAM,TEBET,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2021-09-23,89000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
481,37,Pegawai pemerintahan/lembaga negara,1995-02-28,K,Kawin,MUNJUL,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-12-23,182000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
482,13,Wiraswasta,1967-01-21,K,Kawin,TANAH SEREAL,TAMBORA,JAKARTA BARAT,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2025-04-21,300000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
483,9,"Pengajar (Guru,Dosen)",1978-09-13,K,Kawin,UTAN PANJANG,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-08-25,245000000.0,84,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
484,9,"Pengajar (Guru,Dosen)",1983-08-06,B,Belum Kawin,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-07-01,60000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
485,37,Pegawai pemerintahan/lembaga negara,1971-11-03,K,Kawin,CIBODASARI,CIBODAS,TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2025-05-09,1004000000.0,50,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
486,5,Administrasi umum,1959-12-31,K,Kawin,,,KAB. BOGOR,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2008-09-16,30000000.0,36,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
487,37,Pegawai pemerintahan/lembaga negara,1976-02-17,K,Kawin,TUGU,CIMANGGIS,KOTA DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2022-06-07,611000000.0,60,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
488,37,Pegawai pemerintahan/lembaga negara,1976-05-25,K,Kawin,JEMBATAN BESI,TAMBORA,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-11-29,50000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
489,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1989-12-01,K,Kawin,KUNCIRAN INDAH,PINANG,TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2024-10-02,364000000.0,168,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
490,37,Pegawai pemerintahan/lembaga negara,1970-07-06,K,Kawin,KEBON PALA,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-04-30,255000000.0,61,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
491,37,Pegawai pemerintahan/lembaga negara,1982-02-04,K,Kawin,SEMANAN,KALI DERES,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2018-08-16,250000000.0,120,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
492,37,Pegawai pemerintahan/lembaga negara,1987-05-21,K,Kawin,CEMPAKA BARU,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-05-19,281865500.0,74,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
493,13,Wiraswasta,1999-10-21,B,Belum Kawin,SEPANG JAYA,LABUHAN RATU,BANDAR LAMPUNG,LAMPUNG,Konsumer,KPR,Kredit Pemilikan Rumah,2025-07-25,160340000.0,240,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
494,37,Pegawai pemerintahan/lembaga negara,1968-03-26,K,Kawin,NAGRIKALER,PURWAKARTA,KAB. PURWAKARTA,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2024-12-10,234000000.0,15,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
495,99,Lain-Lain,1997-07-11,K,Kawin,JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-11-23,74000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
496,99,Lain-Lain,1977-03-01,D,Cerai,PASAR BARU,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-02-27,261000000.0,119,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
497,9,"Pengajar (Guru,Dosen)",1966-07-18,K,Kawin,JATI PULO,PALMERAH,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-11-02,76000000.0,30,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
498,37,Pegawai pemerintahan/lembaga negara,1973-06-05,K,Kawin,SEMPER BARAT,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2021-04-29,405000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
499,13,Wiraswasta,1958-12-28,D,Cerai,SONDAKAN,LAWEYAN,SURAKARTA,JAWA TENGAH,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2023-09-27,101000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
500,9,"Pengajar (Guru,Dosen)",1967-03-13,D,Cerai,PADEMANGAN TIMUR,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-05-19,225808935.0,81,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
501,37,Pegawai pemerintahan/lembaga negara,1991-02-19,K,Kawin,MENTENG ATAS,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-12-08,1395900000.0,240,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
502,13,Wiraswasta,1979-11-29,K,Kawin,GELAM JAYA,PASARKEMIS,KAB. TANGERANG,BANTEN,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2022-07-22,220000000.0,48,Medium,Terdaftar KUR,Sesuai,Tidak,Lolos,Lolos Bersyarat,2,Dalam Perhatian Khusus
503,12,Pelajar/Mahasiswa,1981-09-08,K,Kawin,KEBON PALA,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-09-28,15000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
504,99,Lain-Lain,1982-06-24,K,Kawin,CIPINANG MELAYU,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-05-23,400000000.0,84,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
505,37,Pegawai pemerintahan/lembaga negara,1994-03-29,K,Kawin,KARTINI,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-07-18,250000000.0,36,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
506,37,Pegawai pemerintahan/lembaga negara,1971-02-06,K,Kawin,CIPONDOH MAKMUR,CIPONDOH,TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2022-08-09,191000000.0,96,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
507,99,Lain-Lain,1975-04-04,K,Kawin,JOGLO,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-05-19,229411076.0,105,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
508,37,Pegawai pemerintahan/lembaga negara,1972-05-18,K,Kawin,PASIRIPIS,SURADE,KAB. SUKABUMI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-05-06,100000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
509,37,Pegawai pemerintahan/lembaga negara,1971-07-09,K,Kawin,JOHAR BARU,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-09-15,70000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
510,13,Wiraswasta,1971-10-06,K,Kawin,,,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2004-09-22,100000000.0,48,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
511,13,Wiraswasta,1988-11-18,K,Kawin,KAPUK,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-03-28,128000000.0,48,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
512,9,"Pengajar (Guru,Dosen)",1988-08-03,K,Kawin,CIPINANG MELAYU,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-08-08,151000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
513,9,"Pengajar (Guru,Dosen)",1971-10-29,K,Kawin,MANGGARAI SELATAN,TEBET,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-04-08,281400000.0,114,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
514,9,"Pengajar (Guru,Dosen)",1966-05-12,K,Kawin,TEGAL ALUR,KALIDERES,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-05-19,177727204.0,67,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
515,13,Wiraswasta,1997-11-18,B,Belum Kawin,KLEPU,CEPER,KAB. KLATEN,JAWA TENGAH,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-02-29,500000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
516,10,Militer,1958-10-28,K,Kawin,HARAPAN MULYA,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-12-17,161000000.0,93,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
517,37,Pegawai pemerintahan/lembaga negara,1973-01-16,K,Kawin,TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-05-28,204000000.0,36,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
518,4,Eksekutif,1983-07-14,K,Kawin,HARAPAN MULYA,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2020-05-20,264405780.0,115,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
519,9,"Pengajar (Guru,Dosen)",1974-07-18,K,Kawin,KAPUK,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-08-15,55000000.0,36,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
