Pekerjaan,Status Pernikahan,Produk,Sub Produk,Plafond,Jangka Waktu,Hasil Prescreening SLIK,Hasil Prescreening SIPKUR,Hasil Prescreening Dukcapil,Hasil Prescreening DHNBI,Hasil Prescreening,Status Aplikasi,Kolektabilitas,Usia
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,156700000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,37
Eksekutif,Kawin,Konsumer,Kredit Multi Guna,150000000.0,115,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,60
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,55000000.0,30,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,31
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Belum Kawin,Konsumer,Kredit Multi Guna,133500000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,25
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,287700000.0,119,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,50
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,260000000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,60
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,250000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,54
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,160000000.0,121,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,44
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,20000000.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,46
Pelajar/Mahasiswa,Belum Kawin,Konsumer,Kredit Multi Guna,20000000.0,11,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,24
Ibu rumah tangga,Cerai,Konsumer,Kredit Multi Guna,33000000.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,51
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,300000000.0,132,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,33
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,33000000.0,24,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,32
"Perhotelan & restoran (Koki,Bartender, dsb)",Kawin,Konsumer,Kredit Multi Guna,215000000.0,144,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
Administrasi umum,Belum Kawin,Konsumer,Kredit Multi Guna,149000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,33
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,338000000.0,202,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,44000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,42
"Transportasi darat (masinis, sopir,kondektur)",Belum Kawin,Konsumer,Kredit Multi Guna,179200000.0,180,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,28
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,200000000.0,168,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,29
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,140000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,47
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,173500000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,55
"Perhotelan & restoran (Koki,Bartender, dsb)",Kawin,Konsumer,Kredit Multi Guna,425000000.0,156,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,45
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,153500000.0,73,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,64
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,165000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,162320000.0,144,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,28
Pensiunan,Cerai,Konsumer,Kredit Multi Guna,159500000.0,111,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,61
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,96500000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,27
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,5000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,50
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,210000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,34
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,296000000.0,168,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Konsultan/Analis,Kawin,Konsumer,Kredit Multi Guna,45000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,30
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,151000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,34
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,265800000.0,180,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,35
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,28000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,247600000.0,124,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,47
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,352000000.0,180,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,40
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,150000000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,31
Lain-Lain,Cerai,Mikro,Mikro Kredit Usaha Rakyat,25000000.0,18,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,56
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,406842503.5,168,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,41
Marketing,Kawin,Konsumer,Kredit Multi Guna,50000000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,45
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,78000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,55
Administrasi umum,Kawin,Konsumer,Kredit Pemilikan Rumah,356632987.0,135,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,36
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,100000000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,62
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Pemilikan Rumah,322207777.0,111,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,80000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,300000000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,47
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,220000000.0,84,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,42
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,180500000.0,180,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,36
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,100000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,19
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,375000000.0,168,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,33
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,150000000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,57
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,20000000.0,36,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,51
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,133000000.0,240,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,31
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,124900000.0,132,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,43
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,100000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,35
Pelajar/Mahasiswa,Kawin,Konsumer,Kredit Multi Guna,10000000.0,12,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,19
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,623000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,36
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,76000000.0,36,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,67
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,31000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,36
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,750000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,27
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,189300000.0,50,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,56
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,470000000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,34
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,415000000.0,132,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,38
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,210500000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,178000000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,55
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,10000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,48
"Pengajar (Guru,Dosen)",Kawin,Mikro,Mikro Non - Kredit Usaha Rakyat,18401000.0,12,High,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Tidak Lancar,33
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,38000000.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,26
Marketing,Kawin,Konsumer,Kredit Pemilikan Rumah,196500000.0,240,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,29
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,335000000.0,156,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,29
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,315000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,200000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,37
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,97000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,48
Pejabat negara/penyelenggara negara,Kawin,Konsumer,Kredit Multi Guna,885034000.0,190,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,57511842.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,57
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,65000000.0,72,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,61
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,171000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,43
Ibu rumah tangga,Kawin,Mikro,Mikro Kredit Usaha Rakyat,25000000.0,36,Medium,Terdaftar KUR,Sesuai,Ya,Lolos,Reject,Lancar,32
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,282700000.0,86,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,170000000.0,96,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,32
Pelajar/Mahasiswa,Belum Kawin,Konsumer,Kredit Multi Guna,86000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,46
Teknologi informasi,Kawin,Konsumer,Kredit Multi Guna,400000000.0,84,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,31
Marketing,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,175000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,31
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,235000000.0,90,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,50
Administrasi umum,Kawin,Konsumer,Kredit Pemilikan Rumah,179150000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,33
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,89000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,182000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,28
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,300000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,58
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,245000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,44
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,60000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,1004000000.0,50,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,54
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,30000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,49
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,611000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,46
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,50000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,48
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,364000000.0,168,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,35
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,255000000.0,61,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,55
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,250000000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,37
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,281865500.0,74,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,33
Wiraswasta,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,160340000.0,240,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,26
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,234000000.0,15,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,57
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,74000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,25
Lain-Lain,Cerai,Konsumer,Kredit Multi Guna,261000000.0,119,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,48
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,76000000.0,30,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,57
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,405000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,48
Wiraswasta,Cerai,Mikro,Mikro Kredit Usaha Rakyat,101000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,65
"Pengajar (Guru,Dosen)",Cerai,Konsumer,Kredit Multi Guna,225808935.0,81,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,53
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,1395900000.0,240,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,32
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,220000000.0,48,Medium,Terdaftar KUR,Sesuai,Tidak,Lolos,Lolos Bersyarat,Lancar,43
Pelajar/Mahasiswa,Kawin,Konsumer,Kredit Multi Guna,15000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,400000000.0,84,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,40
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,250000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,29
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,191000000.0,96,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,52
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,229411076.0,105,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,100000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,70000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,51
Wiraswasta,Kawin,Konsumer,Kredit Multi Guna,100000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,33
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,128000000.0,48,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,35
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,151000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,36
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,281400000.0,114,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,50
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,177727204.0,67,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,54
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,500000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,26
Militer,Kawin,Konsumer,Kredit Multi Guna,161000000.0,93,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,62
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,204000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,51
Eksekutif,Kawin,Konsumer,Kredit Pemilikan Rumah,264405780.0,115,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,37
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,55000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,51
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,150000000.0,96,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,40
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,154000000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,34
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,44000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,35
"Pengajar (Guru,Dosen)",Cerai,Konsumer,Kredit Multi Guna,121000000.0,27,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,56
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,200000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,48
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,22000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,50000000.0,133,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,49
Pelajar/Mahasiswa,Kawin,Konsumer,Kredit Multi Guna,180000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,42
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,807000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,550000000.0,155,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,43
Eksekutif,Kawin,Konsumer,Kredit Multi Guna,250000000.0,75,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,52
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,150000000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,31
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,150000000.0,48,Medium,Terdaftar KUR,Sesuai,Tidak,Lolos,Lolos Bersyarat,Lancar,59
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,10000000.0,12,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,42
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,315000000.0,168,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,39
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,200000000.0,96,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,46
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,53000000.0,71,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,64
Wiraswasta,Kawin,Mikro,Mikro Non - Kredit Usaha Rakyat,20000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,52
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,50000000.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,28
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,118000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,51
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,100000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,28
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,24500000.0,10,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
